URL,Texto,H1,H2,H3,H4,H5,H6,H7
https://en.wikipedia.org/wiki/Hyperpop,Hyperpop,Electronic,Electronic rock,,Electronic pop,Hyperpop,,
https://en.wikipedia.org/wiki/Sophisti-pop,Sophisti-pop,Electronic,Electronic rock,,Electronic pop,Sophisti-pop,,
https://en.wikipedia.org/wiki/Synth-pop,Synth-pop,Electronic,Electronic rock,,Electronic pop,Synth-pop,,
https://en.wikipedia.org/wiki/Electroclash,Electroclash,Electronic,Electronic rock,,Electronic pop,Synth-pop,Electroclash,
https://en.wikipedia.org/wiki/Electropop,Electropop,Electronic,Electronic rock,,Electronic pop,Synth-pop,Electroclash,Electropop
https://en.wikipedia.org/wiki/Wonky_pop,Wonky pop,Electronic,Electronic rock,,Electronic pop,Wonky pop,,
https://en.wikipedia.org/wiki/Indietronica,Indietronica,Electronic,Electronic rock,,Indietronica,,,
https://en.wikipedia.org/wiki/Krautrock,Krautrock,Electronic,Electronic rock,,Krautrock,,,
https://en.wikipedia.org/wiki/New_wave_music,New wave,Electronic,Electronic rock,,New wave,,,
https://en.wikipedia.org/wiki/Cold_wave_(music),Cold wave,Electronic,Electronic rock,,New wave,Cold wave,,
https://en.wikipedia.org/wiki/Dark_wave,Dark wave,Electronic,Electronic rock,,New wave,Dark wave,,
https://en.wikipedia.org/wiki/Neoclassical_dark_wave,Neoclassical dark wave,Electronic,Electronic rock,,New wave,Dark wave,Neoclassical dark wave,
https://en.wikipedia.org/wiki/Neue_Deutsche_Todeskunst,Neue Deutsche Todeskunst,Electronic,Electronic rock,,New wave,Dark wave,Neue Deutsche Todeskunst,
https://en.wikipedia.org/wiki/Ethereal_wave,Ethereal wave,Electronic,Electronic rock,,New wave,Ethereal wave,,
https://en.wikipedia.org/wiki/Nu-gaze,Nu-gaze,Electronic,Electronic rock,,New wave,Ethereal wave,Nu-gaze,
https://en.wikipedia.org/wiki/Minimal_wave,Minimal wave,Electronic,Electronic rock,,New wave,Minimal wave,,
https://en.wikipedia.org/wiki/Neue_Deutsche_Welle,Neue Deutsche Welle,Electronic,Electronic rock,,New wave,Neue Deutsche Welle,,
https://en.wikipedia.org/wiki/New_Romantic,New romantic,Electronic,Electronic rock,,New wave,New romantic,,
https://en.wikipedia.org/wiki/Post-rock,Post-rock,Electronic,Electronic rock,,Post-rock,,,
https://en.wikipedia.org/wiki/Space_rock,Space rock,Electronic,Electronic rock,,Space rock,,,
https://en.wikipedia.org/wiki/Synth-metal,Synth-metal,Electronic,Electronic rock,,Synth-metal,,,
https://en.wikipedia.org/wiki/Grindcore,Electrogrind,Electronic,Electronic rock,,Synth-metal,Electrogrind,,
https://en.wikipedia.org/wiki/Electronicore,Electronicore,Electronic,Electronic rock,,Synth-metal,Electronicore,,
https://en.wikipedia.org/wiki/Synth-punk,Synth-punk,Electronic,Electronic rock,,Synth-punk,,,
https://en.wikipedia.org/wiki/Electronica,Electronica,Electronic,Electronica,,,,,
https://en.wikipedia.org/wiki/Folktronica,Folktronica,Electronic,Electronica,,Folktronica,,,
https://en.wikipedia.org/wiki/Live_electronic_music,Live electronic (Livetronica),Electronic,Electronica,,Live electronic (Livetronica),,,
https://en.wikipedia.org/wiki/Laptronica,Laptronica,Electronic,Electronica,,Live electronic (Livetronica),Laptronica,,
https://en.wikipedia.org/wiki/Nu_jazz,Nu jazz (Jazztronica),Electronic,Electronica,,Nu jazz (Jazztronica),,,
https://en.wikipedia.org/wiki/Progressive_electronic,Progressive electronic,Electronic,Electronica,,Progressive electronic,,,
https://en.wikipedia.org/wiki/Kosmische_musik,Kosmische musik,Electronic,Electronica,,Progressive electronic,Kosmische musik,,
https://en.wikipedia.org/wiki/Ethnic_electronica,Ethnic electronica and regional EDM,Electronic,Ethnic electronica and regional EDM,,,,,
https://en.wikipedia.org/wiki/Asian_Underground,Asian Underground,Electronic,Ethnic electronica and regional EDM,,Asian Underground,,,
https://en.wikipedia.org/wiki/Afrobeats,Afrobeats,Electronic,Ethnic electronica and regional EDM,,African electronic dance music,Afrobeats,,
https://en.wikipedia.org/wiki/Azonto,Azonto,Electronic,Ethnic electronica and regional EDM,,African electronic dance music,Afrobeats,Azonto,
https://en.wikipedia.org/wiki/Coupé-décalé,Coupé-décalé,Electronic,Ethnic electronica and regional EDM,,African electronic dance music,Coupé-décalé,,
https://en.wikipedia.org/wiki/Kuduro,Kuduro,Electronic,Ethnic electronica and regional EDM,,African electronic dance music,Kuduro,,
https://en.wikipedia.org/wiki/Mahraganat,Mahraganat,Electronic,Ethnic electronica and regional EDM,,African electronic dance music,Mahraganat,,
https://en.wikipedia.org/wiki/Shangaan_electro,Shangaan electro,Electronic,Ethnic electronica and regional EDM,,African electronic dance music,Shangaan electro,,
https://en.wikipedia.org/wiki/Budots,Budots,Electronic,Ethnic electronica and regional EDM,,Budots,,,
https://en.wikipedia.org/wiki/Changa_tuki,Changa tuki,Electronic,Ethnic electronica and regional EDM,,Changa tuki,,,
https://en.wikipedia.org/wiki/Dancehall_pop,Dancehall pop,Electronic,Ethnic electronica and regional EDM,,Dancehall pop,,,
https://en.wikipedia.org/wiki/Denpa_music,Denpa music,Electronic,Ethnic electronica and regional EDM,,Denpa music,,,
